13
#n ret_price	total_distrib	tot_distrib_1st_year	reprints	num_reprints	tot_devol	tot_devol_1st_year	distrib_1st_edition	tot_sell_points	tot_sell_points_1st_year	weeks_sale	print-run	total_sales
21.11	2107	2027	4	22	1065	752	1393	351	325	132	2546	841
20.19	1585	1497	4	22	639	469	951	250	236	118	1328	814
11.06	1549	1455	4	44	558	360	770	226	213	124	1214	812
17.31	2175	2086	1	2	1212	1015	1369	295	280	126	2702	808
15.87	2643	1931	4	147	1553	1091	1252	300	249	107	2367	805
16.35	1892	1763	4	88	851	611	1235	306	276	141	2104	805
19.04	1452	1304	2	6	421	311	821	204	188	120	1403	801
15.38	1600	1374	5	175	673	473	936	238	211	147	1975	749
18.22	1433	1024	0	0	398	210	357	170	116	135	1025	748
20.14	1314	944	0	0	323	186	498	145	97	134	1018	717
15.87	1246	1163	2	17	369	239	717	196	179	114	1028	706
7.69	1446	1301	3	54	561	391	947	249	229	120	2358	696
19.13	1693	1586	3	59	848	578	1191	309	282	139	1775	687
16.35	2631	2590	2	4	1797	1415	1806	388	381	142	2474	676
13.46	1425	1379	2	5	569	406	761	266	252	128	1008	670
15.34	1467	1270	4	49	646	462	822	154	128	143	1903	666
19.04	2465	2470	4	23	1633	1248	1944	345	336	135	3204	662
22.12	1346	1246	2	13	490	314	812	251	233	112	1216	661
15.38	1215	1119	0	0	450	298	690	177	168	110	1185	657
21.11	2111	2071	3	19	1263	904	1477	330	314	109	2439	653
14.42	1352	1104	4	57	480	332	717	183	146	120	1937	646
20.67	1429	1279	2	36	627	450	969	270	238	149	1116	641
19.13	1469	1389	4	18	723	560	1029	213	195	136	1390	616
16.35	1789	1569	5	246	972	681	1182	301	276	137	2268	613
17.31	2176	2094	7	32	1463	1264	1778	244	237	140	2816	601
20.19	2223	2220	5	24	1433	1046	1835	327	316	111	2629	599
22.07	1464	1369	10	999	648	488	928	240	229	109	2478	595
19.23	1506	1444	4	16	794	548	1044	239	224	131	1932	585
12.98	1226	1163	2	40	461	300	743	234	224	121	2035	580
13.94	1511	1439	1	18	765	594	1069	249	229	132	1690	579
12.98	1209	1147	4	45	446	324	659	177	162	114	2178	570
