Method;R²;MAE;RMSE;RAE;RRSE;TIME
M5P;81.6_0.22;15.67_6.58;25.63_11.84;47.93_18.81;60.72_31.75;0.006_0.002
kNN;75.2_0.27;15.73_7.73;26.68_14.82;48.58_24.77;66.23_48.59;0.0001_0.0003
RF;75.1_0.26;15.61_7.19;26.83_13.36;47.38_20.10;64.65_38.66;0.0224_0.0027
LR;81.6_0.22;15.67_6.55;25.49_11.63;47.97_18.85;60.28_30.62;0.0002_0.0004
SVM;81.8_0.21;17.71_9.70;31.95_19.26;50.07_14.93;65.12_16.36;0.013_0.001
MLP;80.08_0.25;19.6_11.66;29.32_14.5;59.97_35.66;70.05_42.31;0.02_0.002
ELM;75.5_0.3;17.17_14.77;29.6_31.56;81.78_109.48;105.73_166.11;0_0
