Method;R²;MAE;RMSE;RAE;RRSE;TIME
M5P;88.0_0.13;738.28_188.53;1141.79_472.025;45.45_13.62;47.58_24.84;0.017_0.002
kNN;85.3_0.15;825.19_235.34;1280.33_523.06;50.23_14.07;51.42_21.24;0.0001_0.0002
RF;86.4_0.14;790.09_225.86;1245.23_584.23;48.22_13.79;50.01_21.97;0.063_0.0039
LR;86.6_0.12;936.56_204.46;1329.24_480.79;58.04_16.92;55.41_25.62;0.0004_0.0005
SVM;86.8_0.12;940.39_344.16;1648.50_1026.04;54.50_7.12;56.17_7.8;0.020_0.002
MLP;87.67_0.12;947.71_388.67;1294.58_458.44;58.62_27.65;54.89_27.53;0.04_0.002
ELM;86.46_0.14;779.62_229.99;1206.94_528.2;55.97_25.74;54.92_30.91;0.0115_0.003
