Method;R2;MAE;RMSE;RAE;RRSE;TIME
M5P;80.1_0.09;104.87_21.38;174.57_47.33;58.11_14.73;67.58_22.61;0.018_0.003
kNN;78.2_0.12;99.45_24.31;170.83_46.34;54.53_12.28;65.86_18.34;0.0001_0.0003
RF;77.6_0.13;101.93_23.66;180.56_51.20;56.10_13.62;69.86_23.27;0.0738_0.003
LR;80.1_0.10;106.62_21.52;173.18_46.58;59.11_14.96;67.53_24.53;0.0004_0.0005
SVM;81.8_0.08;94.29_25.52;180.54_62.67;50.79_8.48;65.62_6.25;0.040_0.02
MLP;81.28_0.11;135.01_56.89;193.56_61.91;74.12_31.58;75.43_28.35;0.05_0.002
ELM;78.42_0.15;109.24_52.6;203.11_215.35;62.28_0.24;78.75_0.68;0.0019_0.01
