Method;R²;MAE;RMSE;RAE;RRSE;TIME
M5P;64.0_0.23;777.94_342.04;1305.28_1075.29;78.37_30.4;99.86_85.43;0.013_0.001
kNN;64.8_0.18;702.70_181.41;1008.39_305.87;71.41_13.95;78.47_22.70;0.0001_0.0002
RF;65.3_0.19;685.56_195.28;1021.37_352.88;69.74_16.96;79.37_26.98;0.0466_0.0023
LR;67.0_0.23;857.22_308.69;1352.26_945.31;86.10_24.25;102.89_74.43;0.0003_0.0005
SVM;64.8_0.23;879.91_280.33;1402.82_593.44;87.74_15.27;105.40_37.73;0.017_0.001
MLP;66.09_0.21;817.79_242.44;1127.02_381.75;84.48_27.39;88.59_33.21;0.03_0.002
ELM;61.83_0.23;873.34_287.46;1308.26_953.71;93.91_35.3;108.29_99.33;0.0039_0.002
