Method;R²;MAE;RMSE;RAE;RRSE;TIME
M5P;89.0_0.09;214.37_22.96;634.23_307.76;37.46_3.12;48.32_25.16;18.85_0.61
kNN;78.7_0.08;272.29_32.38;840.59_240.11;47.48_3.39;63.07_10.29;0.001_0.01
RF;84.0_0.05;253.37_29.43;788.94_282.01;44.16_2.76;57.77_8.15;4.91_0.12
LR;87.2_0.07;308.68_25.44;680.91_226.41;54.05_4.38;52.13_18.29;984.68_128.21
SVM;87.6_0.04;248.76_27.49;732.64_260.56;43.37_2.35;53.47_6.29;6169.24_281.49
MLP;88.01_0.11;350.99_185.53;730.93_374.84;61.64_33.61;56.33_31.6;7014.06_110.095
ELM;86.79_0.11;271.01_28.53;684.98_329.39;47.73_0.06;52.42_0.26;0.203_0.03
