Method;R²;MAE;RMSE;RAE;RRSE;TIME
M5P;89.2_0.10;211.15_22.41;616.35_321.25;36.93_3.41;47.30_26.83;0.49_0.02
kNN;86.9_0.09;231.78_24.25;668.03_205.14;40.48_3.06;51.28_16.81;0.002_0.004
RF;91.0_0.05;198.16_19.50;589.35_195.80;34.61_2.27;44.21_11.63;3.63_0.20
LR;86.4_0.08;346.88_25.40;695.90_242.49;60.75_4.55;53.16_19.43;0.01_0.01
SVM;84.2_0.04;252.87_33.38;858.26_318.23;44.01_3.04;62.22_7.15;38.97_5.75
MLP;88.58_0.09;384.94_342.05;769.74_427.35;67.47_60.6;58.71_34.81;4.9_0.047
ELM;87.25_0.1;277.38_27.54;669.29_307.31;49_6.59;51.81_25.4;0.0677_0.002
