Method;R²;MAE;RMSE;RAE;RRSE;TIME
M5P;87.0_0.09;266.78_23.12;662.32_245.27;46.66_3.25;50.9_20.35;0.41_0.04
kNN;84.0_0.10;289.09_22.83;743.92_260.45;50.59_3.50;57.30_22.90;0.001_0.001
RF;85.0_0.11;278.42_23.07;714.13_278.65;48.71_3.43;55.26_24.41;2.48_0.13
LR;85.9_0.06;356.35_22.43;708.06_195.15;62.42_4.22;53.97_14.05;0.01_0.001
SVM;86.0_0.06;288.47_30.32;817.56_253.24;50.30_2.38;60.27_5.68;32.73_5.74
MLP;87.26_0.1;420.02_491.51;771.6_514.03;73.6_87.04;60.09_46.83;1.08_0.019
ELM;85.91_0.12;282.56_28.36;692.59_281.38;49.87_0.06;53.74_0.25;0.0095_0.02
