Method;R²;MAE;RMSE;RAE;RRSE;TIME
M5P;86.6_0.10;234.09_23.19;699.56_317.20;40.92_3.25;53.70_26.87;0.475_0.12
kNN;86.8_0.09;237.91_25.34;665.64_212.05;41.55_3.14;50.96_16.72;0.001_0.004
RF;89.8_0.05;211.87_20.07;617.78_187.16;37.02_2.46;46.58_11.14;2.93_0.11
LR;85.5_0.08;351.99_23.72;714.76_214.21;61.65_4.28;54.67_16.88;0.01_0.01
SVM;84.5_0.04;267.71_33.82;888.33_308.93;46.60_2.87;64.62_5.45;32.27_4.74
MLP;84.3_0.12;388.79_274.18;851.01_422.03;68.26_49.64;65.85_36.49;3.29_0.042
ELM;85.3_0.09;301.42_31.43;704.9_221.83;53.22_0.07;54.57_0.18;0.0229_0.02
