Method;R²;MAE;RMSE;RAE;RRSE;TIME
M5P;90.5_0.1;661.81_186.17;1070.24_425.66;40.18_10.50;43.56_19.77;0.02_0.002
kNN;87.8_0.11;751.54_270.91;1257.82_615.66;44.57_10.89;48.62_18.73;0.0001_0.0003
RF;88.3_0.11;735.04_326.9;1420.43_941.62;43.56_15.88;54.36_35.31;0.10_0.009
LR;88.4_0.11;868.18_208.65;1231.23_454.86;53.38_14.67;50.60_22.04;0.0006_0.0005
SVM;87.6_0.10;860.49_334.67;1560.05_962.64;49.98_9.68;55.07_17.76;0.023_0.003
MLP;87.66_0.14;897.02_411.58;1332.54_969.05;56.43_33.1;58.52_57.68;0.17_0.002
ELM;83.57_0.19;913.77_388.46;1542.56_1133.02;63.24_33.92;68.57_60.88;0.0147_0.003
