Method;R²;MAE;RMSE;RAE;RRSE;TIME
M5P;76.6_0.17;592.49_209.25;894.76_508.14;60.21_18.22;69.14_37.35;0.02_0.001
kNN;82.7_0.09;487.00_140.27;741.81_238.56;49.27_10.50;56.62_12.59;0.0001_0.0003
RF;85.3_0.09;455.7_123.96;686.54_198.16;46.32_10.20;53.03_13.05;0.07_0.003
LR;64.4_0.20;817.21_331.16;1324.05_1090.85;83.22_32.01;101.90_87.83;0.0005_0.0005
SVM;71.4_0.14;644.42_203.43;1009.66_371.83;64.47_11.70;75.54_15.99;0.018_0.001
MLP;77.3_0.13;709.2_235.87;960.43_345.28;73.11_24.95;75.19_25.74;0.14_0.003
ELM;79.88_0.13;586_159.51;820.07_306.71;63.01_18.84;67.37_28.33;0.0131_0.003
