Method;R²;MAE;RMSE;RAE;RRSE;TIME
M5P;89.3_0.08;69.70_19.85;122.48_47.28;38.49_11.53;46.68_16.02;0.028_0.003
kNN;85.6_0.10;78.39_24.12;147.07_58.02;42.58_10.99;54.42_15.54;0.0001_0.0003
RF;87.7_0.08;73.13_22.95;137.60_56.14;39.79_10.69;51.35_17.00;0.13_0.01
LR;87.3_0.06;89.72_18.31;140.65_47.12;49.45_10.50;53.20_14.16;0.0008_0.0005
SVM;87.7_0.07;77.30_22.25;146.46_57.68;41.67_7.99;53.10_9.51;0.05_0.02
MLP;84.11_0.13;104.55_50.32;180.42_87.44;56.99_26.01;67.68_32.15;0.22_0.003
ELM;83.37_0.12;88.63_27.52;160.87_80.76;51.14_15.13;64.64_31.55;0.0136_0.003
