Method;R²;MAE;RMSE;RAE;RRSE;TIME
M5P;77.5_0.15;573.41_192.22;860.31_456.22;58.26_15.87;66.00_29.45;0.024_0.002
kNN;73.2_0.16;596.62_205.37;933.06_356.11;60.62_17.85;71.36_22.34;0_0.0002
RF;86.7_0.07;449.16_127.80;671.76_212.74;45.58_9.80;51.37_11.16;0.06_0.01
LR;73.3_0.20;680.16_263.79;1103.97_850.69;69.78_27.24;86.11_71.32;0.002_0.001
SVM;80.4_0.12;529.35_172.50;846.01_341.12;53.26_11.92;63.54_18.25;0.03_0.02
MLP;0.7649_0.17;757.12_270.14;1111.03_645.27;78.74_31.38;88.05_54.96;1.11_0.004
ELM;61.55_0.24;1350.19_3934.54;3681.73_19380.44;140.16_3.02;264.72_10.87;0.009_0.02
