Method;R²;MAE;RMSE;RAE;RRSE;TIME
M5P;90.0_0.10;670.24_181.05;1065.34_413.84;40.83_10.86;43.56_19.87;0.03_0.002
kNN;73.3_0.19;1057.21_385.04;1875.85_916.96;61.88_12.37;68.75_15.98;0_0.0001
RF;87.6_0.11;771.83_326.34;1490.49_930.58;45.40_14.14;55.91_31.70;0.08_0.004
LR;86.3_0.12;922.33_289.01;1399.84_619.62;56.11_16.17;56.43_25.09;0.005_0.001
SVM;86.7_0.1;873.22_345.16;1621.48_985.24;50.85_11.83;57.23_20.40;0.04_0.016
MLP;84.42_0.12;1105.61_445.66;1776.68_1148.31;66.52_23.63;70.41_41.88;1.65_0.008
ELM;53.38_0.24;1898.17_728.63;3104.85_1503.83;136.82_0.76;146.75_0.95;0.0184_0.02
MLP;84.42_0.12;1105.61_445.66;1776.68_1148.31;66.52_23.63;70.41_41.88;1.65_0.008
