Method;R²;MAE;RMSE;RAE;RRSE;TIME
M5P;88.9_0.07;71.26_21.29;125.19_50.09;39.25_11.77;47.50_15.93;0.05_0.03
kNN;82.6_0.10;87.60_23.21;158.63_54.16;47.62_10.32;59.17_14.43;0.0001_0.0003
RF;87.1_0.08;74.63_22.17;139.74_54.36;40.62_10.21;52.22_16.27;0.11_0.01
LR;83.8_0.09;97.51_18.87;155.27_45.56;54.17_13.60;60.31_21.17;0.01_0.001
SVM;87.4_0.07;78.74_22.25;147.30_57.99;42.43_7.83;53.29_9.35;0.06_0.016
MLP;80.83_0.12;122.8_56.86;207.12_100.44;67.13_31.38;78.14_39.92;2.83_0.012
ELM;65.13_0.21;336.33_1414.85;1279.83_7128.87;189.38_7.49;501.38_26.56;0.0042_0.01
