Method;R2;MAE;RMSE;RAE;RRSE;TIME
M5P;83.2_0.24;14.18_6.62;23.82_11.86;43.41_20.39;55.79_30.47;0.009_0.002
kNN;79.3_0.24;15.34_8.71;26.57_16.64;46.20_23.77;60.09_35.21;0.0001_0.0002
RF;85.8_0.17;14.19_6.69;23.57_11.83;42.53_16.80;53.30_23.41;0.03_0.004
LR;82.1_0.25;14.62_7.92;24.79_15.08;44.57_24.27;56.85_35.07;0.002_0.0005
SVM;83.5_0.21;14.01_7.61;25.61_15.30;40.66_16.03;53.28_18.45;0.02_0.02
MLP;71.33_0.35;27.46_14.59;49_34.83;82.5_38.48;108.85_66.21;0.45_0.004
ELM;60.52_0.39;24.28_13.57;38.83_26.43;118.09_1.35;131.51_1.37;0.0036_0.01
