Method;R²;MAE;RMSE;RAE;RRSE;TIME
M5P;89.7_0.10;685.67_185.99;1116.42_478.06;42.09_12.8;46.31_24.61;0.02_0.004
kNN;89.0_0.10;746.45_250.76;1203.41_564.84;44.36_9.73;46.25_14.41;0.0001_0.0003
RF;89.5_0.09;708.24_264.52;1270.26_708.82;42.14_12.45;49.07_26.59;0.080_0.0058
LR;86.6_0.13;894.08_206.60;1282.83_451.87;55.29_15.92;53.74_24.70;0.0005_0.0005
SVM;87.1_0.10;908.56_348.20;1608.77_972.55;52.63_8.75;55.95_12.49;0.022_0.002
MLP;87.02_0.13;1015.85_518.44;1603.91_1145.56;61.99_32.97;67.74_62.08;0.11_0.002
ELM;83.44_0.17;884.83_297.95;1430.42_874.32;64.61_0.37;69.69_0.68;0.002_0.01
