Method;R²;MAE;RMSE;RAE;RRSE;TIME
M5P;86.0_0.19;13.84_6.75;23.94_11.64;41.65_17.56;55.44_27.13;0.006_0.001
kNN;74.0_0.29;15.93_8.52;28.28_16.28;48.83_25.89;68.75_48.85;00.0002
RF;85.5_0.19;13.66_6.47;22.51_11.03;41.38_17.87;52.20_27.09;0.026_0.0019
LR;85.4_0.21;14.59_7.13;24.40_12.87;44.81_23.65;57.73_38.63;0.0003_0.0005
SVM;84.4_0.18;14.18_7.96;26.49_16.54;40.93_16.65;54.37_20.00;0.01_0.001
MLP;77.76_0.33;19.24_11.58;33.05_24.27;59.53_36.38;78.43_57.62;0.05_0.002
ELM;73.42_0.31;20.08_9.8;31.45_18.84;85.55_60.0;93.42_64.0;0.0036_0.001
