Method;R²;MAE;RMSE;RAE;RRSE;TIME
M5P;79.0_0.14;573.25_167.88;827.55_388.16;58.42_14.14;63.98_25.63;0.0153_0.0015
kNN;83.6_0.10;492.18_126.86;727.33_209.88;50.12_10.69;56.14_12.89;00.0002
RF;85.6_0.08;446.25_119.79;673.46_189.06;45.38_9.78;52.24_13.09;0.0594_0.0049
LR;71.0_0.19;723.74_247.96;1108.74_736.17;74.14_24.91;85.96_59.99;0.0004_0.0005
SVM;71.6_0.15;640.14_206.46;1017.02_376.13;63.96_11.87;76.10_16.80;0.019_0.001
MLP;77.06_0.18;714.48_259.22;1025.29_569.79;74.3_29.92;81.44_47.9;0.09_0.002
ELM;79.71_0.14;599.43_163.33;837.47_288;66.62_26.69;71.11_34.37;0.0106_0.002
