Method;R2;MAE;RMSE;RAE;RRSE;TIME
M5P;89.2_0.07;71.536_18.95;123.06_42.13;39.43_10.58;47.20_15.16;0.031_0.007
kNN;85.8_0.09;79.42_21.47;140.95_44.93;43.34_10.07;53.31_14.37;0.0001_0.0002
RF;87.7_0.08;73.98_20.91;134.11_51.70;40.48_10.51;50.41_16.38;0.10_0.0076
LR;87.5_0.06;88.70_16.34;135.03_35.18;49.08_10.47;51.97_13.65;0.0006_0.0005
SVM;87.8_0.06;81.09_22.48;154.82_59.93;43.65_7.36;55.72_7.15;0.031_0.003
MLP;87.25_0.09;98.45_46.65;156.48_62.89;53.68_23.35;59.5_22.56;0.15_0.002
ELM;85.22_0.11;85.57_25.92;141.17_62.02;49.48_0.16;56.58_0.25;0.0014_0.01
